"samplesize","model","m","mfit","s","sfit","color"
4700,"NN",0.582,0.584243879454481,0.0609918027279076,0.0442148443913164,"#F0CD0A"
4700,"RF",0.576,0.587817502333848,0.0296647939483826,0.0455317449151348,"#8CDA11"
4700,"SVM",0.584,0.591946364635569,0.0240831891575846,0.0455464162517412,"#F26B59"
4800,"NN",0.588,0.587019596478985,0.0408656334834051,0.0430698856518166,"#F0CD0A"
4800,"RF",0.584,0.591132204810351,0.0550454357780915,0.0453687288033698,"#8CDA11"
4800,"SVM",0.586,0.59546498762383,0.042190046219458,0.0449175571327837,"#F26B59"
4900,"NN",0.574,0.589889927197409,0.0350713558335003,0.0418426016052508,"#F0CD0A"
4900,"RF",0.594,0.594591857740058,0.0482700735445887,0.0452072969399148,"#8CDA11"
4900,"SVM",0.59,0.599132639169855,0.0552268050859363,0.0442403563276054,"#F26B59"
5000,"NN",0.622,0.592845205791823,0.0549545266561364,0.0405355951220486,"#F0CD0A"
5000,"RF",0.626,0.598181780439855,0.0502991053598372,0.0450489728899814,"#8CDA11"
5000,"SVM",0.634,0.602936227539362,0.049799598391955,0.043519066626594,"#F26B59"
